seed,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,held_lift_m,in_pinch_frac,fell,run,arm,crew,iteration,vision
0,0,0,0.07373988339579164,0.45271367473925195,0.009243074999329942,0.006306473477644514,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
1,0,0,0.07057494389673699,0.471454588927503,0.015716810793137387,0.011591977084493721,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
2,0,0,0.06350410421256264,0.5152300066179505,0.03067953820198785,0.024532026066551194,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
3,0,0,0.0700946573780006,0.47434496756047684,0.011678550749652905,0.006805263088099617,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
4,0,0,0.06558141546621322,0.5020986883578844,0.03514493991881035,0.029005077414260422,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
5,0,0,0.07186623353352058,0.4637441181786611,0.016187282064200115,0.010659491192989562,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
6,0,0,0.11545373807841772,0.25478144633688804,0.030817302039849892,0.00258441387845465,0.225,1,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
7,0,0,0.07618797590473192,0.43858311893008484,0.008273031258573649,0.003677129902348364,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,2,3999,0
0,0,0,0.0737155275505998,0.45285586324737515,0.009193306385895217,0.006260812095604945,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
0,1,1,0.29013329445643693,0.015759394221335654,0.024112652016359648,-0.00019441652455270964,0.0,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
1,0,0,0.07028006976291942,0.4732277051046605,0.016697730689329726,0.012431307906383832,0.965,0,2026-08-20_03-40-55_coop-cube-pickfirst-s0,03-40-55_coop-cube-pickfirst-s0,3,3999,0
