seed,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,held_lift_m,in_pinch_frac,fell,run,arm,crew,iteration,vision
4,1,1,0.44342556645631664,0.0012335046285513185,0.0,-0.0001841235175181477,0.0,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,3,15999,0
5,0,0,0.17028546242391596,0.11060036233458592,0.0,-0.0001841235175181477,0.955,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,3,15999,0
5,1,1,0.44698292484545465,0.0011625380712589894,0.0,-0.0001841235175181477,0.0,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,3,15999,0
6,0,0,0.16701776004835314,0.11643050693398449,0.0,-0.0001841235175181477,0.95,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,3,15999,0
6,1,1,0.4604453309418432,0.0009289958611623517,0.0,-0.0001841235175181477,0.0,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,3,15999,0
7,0,0,0.1643267488213802,0.12144699748741039,0.0,-0.0001841235175181477,0.95,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,3,15999,0
7,1,1,0.45441297547801984,0.0010272025485640324,0.0,-0.0001841235175181477,0.0,0,2026-08-27_23-37-38_coop-occluded-blind-s1,23-37-38_coop-occluded-blind-s1,3,15999,0
0,0,0,0.13483567052502898,0.19117194448644048,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
1,0,0,0.14932347397160495,0.1533048395616634,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
2,0,0,0.13558147706749685,0.18903357311496316,0.0,-0.0001841235175180922,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
3,0,0,0.13672989390955892,0.18578272320369915,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
4,0,0,0.13479473917848322,0.1912899265654896,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
5,0,0,0.15017951153732165,0.15129741112535244,0.0,-0.00018412351751803668,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
6,0,0,0.14121186696359864,0.17357101897010008,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
7,0,0,0.1373718355527606,0.1839875049003814,0.0,-0.0001841235175181477,0.955,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,2,15999,0
0,0,0,0.13483567052502818,0.1911719444864428,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
0,1,1,0.44119604774002574,0.0012801723356533623,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
1,0,0,0.1493234739716055,0.15330483956166208,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
1,1,1,0.45098239218344954,0.0010876129080810149,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
2,0,0,0.1355814770674952,0.18903357311496782,0.0,-0.00018412351751803668,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
2,1,1,0.44455665392084,0.0012104830192936067,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
3,0,0,0.13672989390955886,0.18578272320369937,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
3,1,1,0.4497731825550574,0.0011097421879060487,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
4,0,0,0.13479473917848353,0.19128992656548882,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
4,1,1,0.4416464278005063,0.0012706049917279305,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
5,0,0,0.15017951153732145,0.15129741112535278,0.0,-0.00018412351751823097,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
5,1,1,0.43945509676680355,0.0013178369405760781,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
6,0,0,0.14121186696359883,0.17357101897009963,0.0,-0.0001841235175181477,0.95,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
6,1,1,0.45669415163058324,0.0009889007493389945,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
7,0,0,0.13737183555276122,0.18398750490037963,0.0,-0.0001841235175181477,0.955,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
7,1,1,0.4487651825588376,0.0011285327352431596,0.0,-0.0001841235175181477,0.0,0,2026-08-28_00-31-40_coop-occluded-blind-s2,00-31-40_coop-occluded-blind-s2,3,15999,0
0,0,0,0.3279605278371044,0.008420544569030408,0.022343805348841478,-0.00018412351751842526,0.0,1,2026-08-24_08-17-01_coop-occluded-depth-s0,08-17-01_coop-occluded-depth-s0,2,15999,1
